Freq (hertz)	Ra (norm)	Xa (norm)	Za (norm)	SPL (dB)	Ze (ohms)	Xd (mm) 	WPhase (deg)	UPhase (deg)	CPhase (deg)	Delay (msec)	Efficiency (%)	Ein (volts)	Pin (watts)	Iin (amps)	ZePhase (deg)
42.396421	0.047262	0.257953	0.262247	31.857399	0.010004	0.402940	167.974276	167.974276	167.974276	0.797554	0.003544	2.830000	800.285577	282.888179	1.536818
43.007121	0.048612	0.261477	0.265958	32.351768	0.010004	0.403017	167.798887	167.798887	167.798887	0.797966	0.003752	2.830000	800.266968	282.884595	1.559257
43.626619	0.050000	0.265044	0.269719	32.846060	0.010004	0.403096	167.620878	167.620878	167.620878	0.798388	0.003973	2.830000	800.247757	282.880887	1.582033
44.255040	0.051427	0.268654	0.273532	33.340273	0.010004	0.403177	167.440209	167.440209	167.440209	0.798822	0.004207	2.830000	800.227922	282.877051	1.605150
44.892513	0.052894	0.272307	0.277397	33.834405	0.010004	0.403260	167.256836	167.256836	167.256836	0.799268	0.004454	2.830000	800.207442	282.873081	1.628613
45.539168	0.054402	0.276003	0.281314	34.328453	0.010005	0.403345	167.070716	167.070716	167.070716	0.799727	0.004716	2.830000	800.186293	282.868972	1.652429
46.195138	0.055952	0.279743	0.285284	34.822414	0.010005	0.403433	166.881805	166.881805	166.881805	0.800197	0.004993	2.830000	800.164452	282.864720	1.676603
46.860558	0.057545	0.283526	0.289307	35.316285	0.010005	0.403523	166.690060	166.690060	166.690060	0.800681	0.005287	2.830000	800.141895	282.860317	1.701141
47.535562	0.059183	0.287354	0.293385	35.810064	0.010005	0.403616	166.495433	166.495433	166.495433	0.801178	0.005598	2.830000	800.118595	282.855759	1.726048
48.220290	0.060866	0.291225	0.297517	36.303748	0.010005	0.403711	166.297878	166.297878	166.297878	0.801688	0.005927	2.830000	800.094527	282.851039	1.751331
48.914880	0.062596	0.295140	0.301705	36.797334	0.010005	0.403809	166.097348	166.097348	166.097348	0.802212	0.006276	2.830000	800.069661	282.846151	1.776996
49.619476	0.064375	0.299100	0.305949	37.290818	0.010006	0.403909	165.893795	165.893795	165.893795	0.802751	0.006645	2.830000	800.043971	282.841088	1.803049
50.334221	0.066203	0.303105	0.310250	37.784198	0.010006	0.404012	165.687170	165.687170	165.687170	0.803303	0.007035	2.830000	800.017425	282.835843	1.829495
51.059262	0.068081	0.307153	0.314608	38.277469	0.010006	0.404118	165.477422	165.477422	165.477422	0.803871	0.007449	2.830000	799.989992	282.830409	1.856343
